Code,Authors,Title,Year,Journal,DOI,DocumentType,Decision,Reason,IntegrationType,SpatialScale,MethodType,InteractionDirection,ConnectivityFocus,Notes
P1,"Veals A.M.; Holbrook J.D.; Cherry M.J.; Campbell T.A.; Young J.H., Jr.; Tewes M.E.",Landscape connectivity for an endangered carnivore: habitat conservation and road mitigation for ocelots in the US,2023,Landscape Ecology,10.1007/s10980-022-01569-8,Article,accepted,"The paper models landscape connectivity for an endangered carnivore and explicitly considers the impact of road networks and traffic density on movement patterns and conservation strategies, including the placement of wildlife crossing structures.",sequential,regional,modeling,transport_to_ecosystem,yes,Uses SAMC framework and telemetry data to model connectivity and identify areas of concern due to road proximity.
P2,Martins T.; Freitas S.R.; Semensatto Junior D.L.; Hardt E.,The influence of proximity with riparian forests and the distance from urban areas on roadkills of vertebrates in a fragmented Brazilian savanna area,2024,Austral Ecology,10.1111/aec.13342,Article,accepted,"This study analyzes the association between landscape characteristics, specifically proximity to riparian forests and distance from urban areas, and the occurrence of roadkills of vertebrates. It identifies 'hotspot' stretches along a highway and suggests mitigation actions based on landscape features.",analytical,regional,modeling,transport_to_ecosystem,partial,"Focuses on roadkill as an indicator of connectivity/movement, linking it to landscape features."
P3,Johnson C.; Jones D.; Matthews T.; Burke M.,Advancing avian road ecology research through systematic review,2022,Transportation Research Part D: Transport and Environment,10.1016/j.trd.2022.103375,Article,accepted,"This paper is a systematic review that advances avian road ecology research. It discusses the impacts of linear transport infrastructure (roads) on birds and proposes a new experimental framework for better evaluation, aiming to inform the design and management of transport networks.",conceptual,unclear,review,transport_to_ecosystem,partial,Focuses on impacts of roads on birds and proposes a framework for future research and management.
P4,Baumann C.; Streif S.; Akarsu A.S.; Nowak C.; Drucker D.G.,Retrospective isotope monitoring reveals spatial and temporal effects of anthropogenic pressures on the trophic ecology of European wildcats (Felis silvestris) in Germany,2026,PLOS ONE,10.1371/journal.pone.0343705,Article,rejected,"While the paper mentions anthropogenic pressures like habitat fragmentation and road mortality for European wildcats, the primary focus of the study is on using stable isotope analysis to assess dietary patterns and niche dynamics in relation to hybridization and landscape change. Road infrastructure is mentioned as a pressure but not directly modeled or analyzed in relation to connectivity.",unclear,regional,empirical,unclear,no,"Roads are mentioned as a pressure, but the core analysis is on diet and hybridization using isotope data."
P5,Wu J.; Zhang S.; Luo Y.; Wang H.; Zhao Y.,"Assessment of risks to habitat connectivity through the stepping-stone theory: A case study from Shenzhen, China",2022,Urban Forestry and Urban Greening,10.1016/j.ufug.2022.127532,Article,accepted,"The study assesses risks to habitat connectivity due to urbanization and identifies potential ecological corridors and stepping stones. It uses a circuit theory model and analyzes the influence of various factors, including distance from roads, on connectivity loss.",sequential,regional,modeling,transport_to_ecosystem,yes,"Uses circuit theory and SVM to assess connectivity risk, considering roads as a factor."
P6,Alves J.M.C.; Nagatani V.H.; Silva O.G.M.; Ramalho M.O.; Gonçalves Paterson Fox E.; Fernando de Souza R.; Yumi Kayano D.; Wagner Silva Hilsdorf A.; Harakava R.; de Castro Morini M.S.,Hitting the Road: Haplotype Diversity of Fire Ants Nesting on Disturbed Atlantic Forest Habitats,2023,Neotropical Entomology,10.1007/s13744-023-01048-y,Article,accepted,This paper investigates the impact of highway and road infrastructure on the genetic diversity (mtDNA haplotype diversity) of fire ants in disturbed Atlantic Forest habitats. It examines how native species are affected by expanding road networks.,analytical,regional,empirical,transport_to_ecosystem,partial,"Analyzes genetic diversity of ants in relation to roadside habitats, suggesting impact of roads on native species."
P7,Heaston E.; Winter S.; Bauer S.; Ronningen T.; Dunham J.,RoadxStr User’s Guide—For Collection of Road-Stream Crossing Assessment Field Observations,2026,U.S. Geological Survey Techniques and Methods,10.3133/tm18B1,Article,rejected,"This paper describes a user's guide for a tool to collect field observations at road-stream crossings. While it mentions ecological connectivity as one of the values managed, the paper itself is a methodological guide for data collection and does not analyze or model the relationship between road infrastructure and biodiversity connectivity.",unclear,unclear,conceptual,unclear,partial,"Focuses on data collection methodology for road-stream crossings, not on modeling connectivity."
P8,Newell R.; Lister N.-M.E.; Brocki M.; Cerbu A.; Dale A.; Careri S.,Dimensions of integration for landscape connectivity planning: a framework for understanding challenges and opportunities,2025,Ecology and Society,10.5751/ES-16136-300237,Article,accepted,"This research examines dimensions of integration for landscape connectivity planning, explicitly stating that road networks and other anthropogenic changes fragment habitats. It draws from integrated environmental management and uses interviews with practitioners to develop a framework for understanding challenges and opportunities in connectivity planning.",conceptual,regional,mixed,transport_to_ecosystem,yes,"Develops a framework for integrated landscape connectivity planning, acknowledging road networks as a key issue."
P9,Gutiérrez E.G.; Rodríguez-Herrera B.; Baeza J.A.; Salazar M.I.; Ortega J.,Genetic analyses reveal high connectivity among populations of the Honduran white bat Ectophylla alba in the Caribbean lowlands of central eastern Costa Rica,2022,Acta Chiropterologica,10.3161/15081109ACC2022.24.1.003,Article,accepted,"The study analyzes the genetic structure of a bat species in a landscape with remnants of forests surrounded by urban areas and roads. It assesses gene flow and habitat fragmentation, concluding that current migration is high enough to maintain connectivity despite the presence of roads.",analytical,regional,empirical,transport_to_ecosystem,yes,"Assesses genetic connectivity in a landscape with roads, finding no significant fragmentation effect."
P10,Salas A.; Duchardt C.; Carr N.,Overwintering Raptor Abundance and Community Composition in Relation to Prairie Dog Colonies in the Southern and Central Great Plains,2024,Journal of Raptor Research,10.3356/JRR-22-119,Article,accepted,"This paper investigates overwintering raptor abundance in relation to prairie dog colonies, mentioning that nonbreeding raptors are vulnerable to anthropogenic changes such as habitat fragmentation and collision risk (e.g., with vehicles). While the primary focus is on raptor-prairie dog interactions, it acknowledges the impact of roads and fragmentation on raptor populations.",analytical,regional,empirical,transport_to_ecosystem,partial,"Mentions roads and habitat fragmentation as anthropogenic pressures affecting raptors, but the main analysis is on raptor-prairie dog relationships."
