"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Sennblad A.; Honnér I.; de Jong J.","Sennblad, Adina (60226338800); Honnér, Isabella (60226338900); de Jong, Johnny (7201967903)","60226338800; 60226338900; 7201967903","Effectiveness of pipe culverts in facilitating road crossings by clutter-adapted bats","2026","Landscape and Urban Planning","268","","105553","","","0","10.1016/j.landurbplan.2025.105553","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023994152&doi=10.1016%2Fj.landurbplan.2025.105553&partnerID=40&md5=773e903a81cbd95989913d4d889f01a4","Roads have several negative ecological effects on bats. Clutter-adapted bat species avoid roads as the open space increases the risk of predation. This results in the road acting as a barrier of movement, making otherwise suitable habitat inaccessible. Different approaches to mitigate the fragmentation and mortality caused by roads have been explored. Underpasses such as bridges or tunnels have proven to be used by clutter-adapted species to cross the road. A few studies have indicated that some species of bats could possibly use smaller structures such as pipe culverts. As pipe culverts are more cost-effective than bridges and tunnels, we set out to quantitively investigate what factors affect the usage of pipe culverts, aiming to produce recommendations for their implementation in the landscape. Clutter-adapted bats were surveyed with ultrasound detectors in 269 pipe culverts in Sweden. Each pipe culvert was surveyed for one night each and 73 pipe culverts with a high recorded activity were revisited and surveyed with mist nets. M. brandtii, M. daubentonii, M. mystacinus, M. nattereri, and P. auritus were found to be flying in the pipe culverts. Factors affecting the activity and usage of the pipe culverts were the width of the pipe culverts, presence of water in the pipe culvert and the presence of forest at the openings of the pipe culvert. The results give insight into how pipe culverts could be designed and implemented in landscape planning to mitigate the fragmentation caused by roads and decrease their negative effects on clutter-adapted bats. © 2025 The Author(s)","Bat connectivity; Bats and infrastructure; Landscape planning for bats; Road ecology","Sweden; bat; connectivity; culvert; habitat fragmentation; infrastructure planning; landscape planning; mortality; road","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105023994152"
"Denneboom D.; Shwartz A.; Bar-Massada A.","Denneboom, Dror (57222269087); Shwartz, Assaf (23486910100); Bar-Massada, Avi (55666150200)","57222269087; 23486910100; 55666150200","Regional prioritization of wildlife crossing structure locations to mitigate dispersal barriers by roads","2026","Journal for Nature Conservation","91","","127259","","","0","10.1016/j.jnc.2026.127259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031457418&doi=10.1016%2Fj.jnc.2026.127259&partnerID=40&md5=b2227f5816603c842be00bbe773c4711","Habitat fragmentation drives biodiversity loss, and roads intensify it by acting as barriers that disrupt wildlife movement. Wildlife crossing structures (WCS) are commonly used to mitigate these barriers, but their effectiveness depends on appropriate design and careful placement along the road network. Location prioritization methods often rely on animal tracking, road crossing or roadkill data that demand substantial budgets and long monitoring periods, limiting their use at large scales. We developed a multi-species methodology for prioritizing WCS locations at a national scale and demonstrate its use for 20 focal species in Israel across 6992 km of roads. We modelled habitat suitability to delineate core habitats and calculate resistance surfaces, identifying movement corridors using a least-cost method. We assigned corridor prioritization values based on core habitat characteristics including patch size, habitat quality, and protection status. We then ranked potential crossing locations along 100 m road segments by aggregating multi-species corridor prioritization values, accounting for relative movement cost and road orientation. A sensitivity analysis revealed that the method is robust to most parameters, except for minimal core width. Altogether, we identified 167 high-priority WCS locations but found that all existing wildlife overpasses in Israel do not alight with them. Yet 68.2% of these potential WCS locations intersect with corridors that were mapped based on expert opinion. Our methodology for prioritizing WCS locations across regional-scale road networks, which incorporates multiple focal species and established connectivity analysis tools, may improve decision making for effective road mitigation by complementing expert-based inferences with data-based insights. © 2026 The Author(s)","Crossing structures; Fragmentation; Movement corridors; Roads; Spatial optimization; Wildlife","biodiversity; decision making; environmental monitoring; environmental protection; habitat fragmentation; habitat quality; mapping; optimization; road; spatial analysis; wildlife management","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105031457418"
"Devenish-Nelson E.S.; Bobb-Prescott N.; Eckelmann C.-M.; Persaud D.; Nelson H.P.","Devenish-Nelson, Eleanor S. (36620904700); Bobb-Prescott, Neila (60439808500); Eckelmann, Claus-Martin (26024585900); Persaud, David (60439808600); Nelson, Howard P. (55930954300)","36620904700; 60439808500; 26024585900; 60439808600; 55930954300","Can protected areas safeguard forests on small islands? Evidence from Trinidad","2026","Journal of Environmental Management","403","","129161","","","0","10.1016/j.jenvman.2026.129161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032132755&doi=10.1016%2Fj.jenvman.2026.129161&partnerID=40&md5=7378de9c947e2523bbd7d2d51b909bae","Protected natural areas (PNAs) are central to the Global Biodiversity Framework (GBF), as is measuring their effectiveness. On Small Island Developing States (SIDS), PNA designation and management is socio-politically challenging, due to pressure from conflicting interests and complex land-use histories on limited land areas. Global and regional-scale analyses of PNA effectiveness lack the spatial resolution to gain critical planning and management insights for SIDS and island-level evidence is limited to a handful of studies for terrestrial systems. Forest extent is a valuable tool for monitoring management interventions. For a Caribbean SIDS, we examined forest loss and fragmentation in PNAs between 2000 and 2022 as a proxy for PNA effectiveness, using Propensity Score Matching and Generalised Linear Mixed Modelling. Using the Global Forest Change remote sensing dataset, island-wide forest cover on Trinidad was estimated at 52% in 2000, of which 42% was located in PNAs. Proximity to roads and forest plantations and lack of designation as a PNA were significantly correlated with forest loss. Although forest loss was significantly lower within PNAs than comparable sites outside PNAs, 73% of PNAS experienced increased fragmentation during the study period. Increases in PNA fragmentation were most strongly associated with initial forest cover, human population density and elevation. Forest loss was lower in PNAs with higher levels of designation, suggesting some benefit of limiting anthropogenic activities. However, the continued degradation of PNAs highlights the need for proactive management to avoid PNAs becoming paper parks. This assessment presents an opportunity to prioritise areas to implement nature-based solutions and enable accurate natural capital accounting. Our analysis of terrestrial protected areas on an ecologically important Caribbean SIDS provides insights for indicators of progress towards GBF targets and emphasises the value of spatial planning on islands that explicitly considers the landscape-scale impact of competing economic interests. © 2026 The Authors","Caribbean; Deforestation; Fragmentation; Historical legacy; Resource extraction; Small Island Developing States; Spatial planning","Beni; Bolivia; Trinidad [Beni]; Biodiversity; Conservation; Environmental protection; Land use; Landforms; Population statistics; Remote sensing; Spatial variables measurement; Caribbean; Forest loss; Fragmentation; Historical legacy; Protected areas; Protected natural areas; Resource extraction; Small island developing state; Spatial planning; Trinidad; biodiversity; deforestation; developing world; forest cover; habitat fragmentation; human activity; natural capital; plantation forestry; population density; protected area; resource use; small island state; spatial planning; terrestrial environment; Deforestation","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105032132755"
"Chen Y.; Gu Y.; Luo J.; Cao L.","Chen, Yujia (58118985000); Gu, Yang (58118942100); Luo, Junjie (57222477459); Cao, Lei (57198528500)","58118985000; 58118942100; 57222477459; 57198528500","Achieving optimal cooling effects from urban vacant land re-greening using interpretable machine learning and multi-objective optimization","2026","Urban Forestry and Urban Greening","119","","129354","","","0","10.1016/j.ufug.2026.129354","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031111419&doi=10.1016%2Fj.ufug.2026.129354&partnerID=40&md5=a471b69c23dfbd84bf2840e9791c8f67","Urban Heat Island (UHI) effects and extreme heat events pose a critical threat to urban sustainability. Re-greening Urban Vacant Land (UVL) is a key mitigation pathway; however, its cooling efficacy is highly dependent on scientific spatial planning. This Beijing-based study developed a three-stage framework that integrates mechanism analysis, potential assessment, and multi-objective optimization to scientifically guide UVL re-greening and maximize its urban cooling benefits. The study first utilized a CatBoost model interpreted by XAI to unravel the driving mechanisms of Land Surface Temperature (LST), then quantified the cooling potential of UVL re-greening. Finally, the NSGA-II algorithm optimized spatial re-greening schemes by conducting trade-offs among overall cooling (efficiency), targeted HHEC cooling (equity), and ecological connectivity (ecology). The principal findings were: (1) UGS cooling effects are complex, governed by non-linear saturation and threshold effects. A strong context dependency was also revealed in High-Heat-Exposure Clusters (HHECs), where cooling effects were suppressed and warming effects were amplified. Furthermore, the study confirmed Building Height (BH) and Building Coverage Ratio (BCR) as the primary drivers of LST spatial differentiation. (2) The cooling potential of UVL re-greening exhibited high spatial heterogeneity. At the patch level, the average marginal cooling contribution was 0.445°C, with high-potential patches (top 5%) exceeding 0.862°C. At the Traffic Analysis Zone (TAZ) level, the cooling potential in HHEC TAZs was found to be significantly lower than in fringe TAZs. (3) The multi-objective optimization results revealed significant trade-offs between ecological connectivity and both overall cooling (r = -0.95) and targeted HHEC cooling (r = -0.40), identifying three strategic archetypes: Balanced, Cooling Priority, and Connectivity First. Compared to random allocation, strategic planning could enhance overall cooling by up to 12.9%, targeted HHEC cooling by 64.8%, and ecological connectivity by 3.1%. In conclusion, this study provides a systematic analytical framework for optimizing UVL re-greening. Its data-driven decision-making scenarios offer urban managers quantifiable pathways to trade-off among efficiency, equity, and ecology goals, enabling more precise climate adaptation strategies. © 2026 Elsevier GmbH.","Interpretable machine learning; Multi-objective optimization (MOO); Urban cooling; Urban green space (UGS); Urban thermal environment; Urban vacant land (UVL)","Beijing [China]; China; analytical framework; connectivity; cooling; greenspace; machine learning; multiobjective programming; optimization","Article","Final","","Scopus","2-s2.0-105031111419"
"Luo J.; Li J.; Kong X.; Lin F.","Luo, Jiayi (59720818700); Li, Jinhai (60437326600); Kong, Xuesong (36571885300); Lin, Feifei (57959807300)","59720818700; 60437326600; 36571885300; 57959807300","Unraveling road-induced ecological disturbances through a cross-scale framework: Evidence from Wuhan, China","2026","Applied Geography","190","","103971","","","0","10.1016/j.apgeog.2026.103971","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031930230&doi=10.1016%2Fj.apgeog.2026.103971&partnerID=40&md5=c65012d02fb4c2c8105a35587c70ea9b","Although the expansion of urban road infrastructure is a key driver of economic growth, it imposes severe ecological disturbances, such as landscape fragmentation, impediments to species migration, and habitat degradation. Balancing road network development with ecological network conservation under urban socioeconomic demands poses a key challenge for sustainable urbanization. This study develops a cross-scale evaluation framework to assess road-network-induced ecological disturbances at both regional and local levels. Using Wuhan in China as a case study, we analyze the spatiotemporal dynamics between road network and ecological network from 2014 to 2022 through three dimensions: road network expansion patterns, ecological network stability assessment, and cross-scale association. At the regional scale, road network expansion reduced ecological network closure degree by 12.36%, connectivity degree by 8.71%, and connectivity rate by 8.42%, thereby undermining overall ecosystem stability. Ecological disturbance intensified notably, characterized by a 60% increase in overall intensity and a 65.38% expansion in the spatial extent of high-disturbance areas. Our analysis reveals that localized road stress systematically undermines regional-scale ecological connectivity. Based on these findings, we propose a multi-tiered ecological optimization path to support ecological conservation planning in Wuhan. This study advances the understanding of road-ecological network interactions and offers policy-relevant insights for sustainable spatial planning in rapidly urbanizing regions. © 2026 Elsevier Ltd.","Ecological disturbance; Ecological network; Land use; Road network","China; Hubei; Wuhan; disturbance; expansion; land use; road transport; transportation infrastructure; urban planning; urban transport","Article","Final","","Scopus","2-s2.0-105031930230"
"Mahato S.; Kumara H.N.; Umapathy G.; Singh M.; Singh M.","Mahato, Santanu (57219307083); Kumara, Honnavalli N. (6602350037); Umapathy, Govindhaswamy (8857382700); Singh, Mridula (57225859395); Singh, Mewa (7406437127)","57219307083; 6602350037; 8857382700; 57225859395; 7406437127","Differential demographic responses of lion-tailed macaques to habitat fragmentation: Four decades of population monitoring in the Anamalai Hills, Western Ghats and perspectives for management and conservation","2026","Journal for Nature Conservation","91","","127236","","","0","10.1016/j.jnc.2026.127236","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029886428&doi=10.1016%2Fj.jnc.2026.127236&partnerID=40&md5=2ba3893836f655576175908ca4c48748","The biodiversity-rich tropical ecosystems are experiencing burgeoning anthropogenic threats and continuous modifications. Responses of the primate population are important indicators of such modifications; thus, monitoring them is crucial to frame conservation strategies. Habitat fragmentation and dependence on anthropogenic food sources can impact population viability, as in the case of an endangered species, the lion-tailed macaque (Macaca silenus) in the Anamalai Hills of the Western Ghats, India. We recorded 37 groups (∼ 800 individuals), with larger mean group sizes in non-protected areas (non-PAs) compared to protected areas (PAs). The groups in non-PAs are likely to experience greater long-term vulnerability due to their proximity to human settlements and exposure to anthropogenic disturbances, including road mortality and electrocution. In contrast, the groups in PAs remained largely stable. Birth rates did not vary significantly across fragments; however, group size was negatively correlated with canopy height. Fragments in PAs supported a higher proportion of adult females to immatures and adults to immatures than non-PAs. Our findings highlight the differential impacts of fragmentation on the demography of the lion-tailed macaque and emphasize the need for conservation strategies that balance population viability. © 2026 Elsevier GmbH","Anthropogenic disturbance; Habitat fragmentation; Lion-tailed macaque; Long-term monitoring; Population viability; Western Ghats","Anaimalai Hills; India; Tamil Nadu; Western Ghats; conservation management; endangered species; habitat fragmentation; population distribution; primate","Article","Final","","Scopus","2-s2.0-105029886428"
"Raymond S.; Chadwick E.A.; Perkins S.E.","Raymond, Sarah (57222410852); Chadwick, Elizabeth A. (8901887100); Perkins, Sarah E. (7201961731)","57222410852; 8901887100; 7201961731","Quantifying roadless areas and fragmentation in the context of wildlife-vehicle collision risk in Great Britain","2026","Scientific Reports","16","1","3890","","","0","10.1038/s41598-026-36410-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030534916&doi=10.1038%2Fs41598-026-36410-8&partnerID=40&md5=6317b195fe33aaaa37a5e4ef17d6e0d4","Roads cause indirect and direct effects for wildlife, including pollution, behavioural changes, wildlife mortality and habitat fragmentation. The ecological impacts of roads extend beyond their immediate vicinity, into ‘road effect zones’. Beyond road effect zones, ‘roadless areas’ can offer refuges from the ecological effects of roads. In this study, we quantify the number and distribution of roadless patches in Great Britain, their ecological status and their overlap with protected areas. Road effect zones applied 100, 500 and 1,000 m on either side of the road network revealed a highly fragmented landscape with 93,561, 29,164 and 6,138 roadless patches, covering 76.6%, 36.0% and 20.6% of terrestrial land, respectively. Roadless areas were smallest, on average, in England and largest in Scotland. For all road effect zones, more than 70% of patches were smaller than 1 km2. For the most commonly used road effect zone (1 km), more than 60% of roadless patches were smaller than the mean home range of common UK species, European badger Meles meles and red fox Vulpes vulpes, meaning they likely face a high risk of wildlife-vehicle collisions. Nearly half (47%) of roadless areas coincided with protected land and there was a weak but significant negative relationship between roadless patch size and ecological status. In conclusion, the landscape is fragmented into numerous, small roadless patches. We present roadless areas and their ecological features as an open access searchable map, constituting a tool for conservation practitioners and an important starting point for defragmentation campaigns. © The Author(s) 2026.","Fragmentation; Protected areas; Roadless areas; Wildlife-vehicle collisions","Accidents, Traffic; Animals; Animals, Wild; Conservation of Natural Resources; Ecosystem; United Kingdom; animal; ecosystem; environmental protection; traffic accident; United Kingdom; wild animal","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105030534916"
"dos Santos M.F.; de Lima Ricardo C.; dos Santos Rodrigues de Melo A.","dos Santos, Marcílio Ferreira (57219588467); de Lima Ricardo, Cleiton (60261184600); dos Santos Rodrigues de Melo, Andreza (60406751200)","57219588467; 60261184600; 60406751200","Correlation-weighted communicability curvature as a structural driver of dengue spread: A Bayesian spatial analysis of Recife (2015–2024)","2026","Chaos, Solitons and Fractals","208","","118089","","","0","10.1016/j.chaos.2026.118089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030608219&doi=10.1016%2Fj.chaos.2026.118089&partnerID=40&md5=92979c2fc7ea81d6715e28771ab898b9","We investigate whether functional connectivity in urban road networks explains dengue incidence in Recife, Brazil (2015–2024), beyond traditional adjacency-based spatial dependence. For each neighborhood, we compute the average communicability curvature , a graph-theoretic measure capturing multiscale accessibility through redundant network paths. The curvature metric is incorporated into Negative Binomial models, fixed-effects regressions, SAR/SAC spatial models, and a hierarchical INLA/BYM2 specification. Across all frameworks, curvature emerges as the strongest and most stable predictor of dengue risk. In the BYM2 model, the structured spatial component collapses (ϕ≈0), indicating that spatial variation traditionally attributed to CAR adjacency effects is largely absorbed by functional network connectivity. Rather than eliminating spatial dependence, the results suggest a reparametrization of space: dengue diffusion in Recife is structured less by geometric contiguity and more by network-mediated urban connectivity. Copyright © 2026. Published by Elsevier Ltd.","Bayesian hierarchical models; Correlation-weighted communicability curvature; Dengue; INLA; Network science; Spatial epidemiology","Bayesian networks; Hierarchical systems; Motor transportation; Bayesian; Bayesian hierarchical modelling; Correlation-weighted communicability curvature; Dengue; INLA; Network science; Spatial analysis; Spatial dependence; Spatial epidemiology; Structural drivers; Copyrights","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105030608219"
"Bandyopadhyay K.; Jain D.; Koprowski J.; Qureshi Q.; Jhala Y.V.","Bandyopadhyay, Kathan (58640463700); Jain, Dhruv (59204224200); Koprowski, John (6701833520); Qureshi, Qamar (6506343217); Jhala, Yadvendradev V. (35618215600)","58640463700; 59204224200; 6701833520; 6506343217; 35618215600","Distribution and conservation status of the jungle cat (Felis chaus) across India","2026","Scientific Reports","16","1","7798","","","0","10.1038/s41598-026-39033-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031625884&doi=10.1038%2Fs41598-026-39033-1&partnerID=40&md5=de76fec6bad4e8d06ea665ae81dab694","Understanding the distribution and conservation status of small carnivores is critical for informing management strategies in human-modified landscapes. We assembled a comprehensive dataset of jungle cat (Felis chaus) presence across India, drawing from over 26,000 camera trap locations, radio-telemetry data, published literature, secondary sources, and verified sightings. After filtering for spatial redundancy, we modeled species distribution using ecologically relevant covariates in both maximum entropy (MaxEnt) and random forest (RF) frameworks. The resulting ensemble model indicated that jungle cats are most likely to occur in warm, semi-arid regions with moderate vegetation cover and low to moderate levels of human and livestock disturbance. In contrast, they tend to avoid dense forests and highly transformed habitats. Despite their broad geographic distribution, jungle cats face increasing threats from habitat fragmentation, expanding infrastructure, road mortality, disease transmission from free-ranging dogs, and genetic introgression through hybridization with domestic cats. These pressures are particularly acute in peri-urban and agro-pastoral landscapes where jungle cats persist outside protected areas. Our findings underscore the importance of rural lifestyles with agro-pastoralism livelihoods for conserving the species along with grasslands, savanna and open forest systems to ensure the species’ long-term viability in a rapidly urbanizing landscape. © The Author(s) 2026.","Conservation policy; Habitat suitability; India; Jungle cat; Population status; Small wild felid","article; cat; Felidae; habitat; nonhuman","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031625884"
"Yan X.; Wei C.; Sun Y.; Hu Y.","Yan, Xiaolu (57193889417); Wei, Caixia (59693529100); Sun, Yuxiang (59129997000); Hu, Yuanman (7407119076)","57193889417; 59693529100; 59129997000; 7407119076","Nonlinear Thresholds in Carbon–Water Functional Synergies under Coastal Reclamation in the Liaohe River Delta, China","2026","Estuaries and Coasts","49","3","62","","","0","10.1007/s12237-026-01684-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031962308&doi=10.1007%2Fs12237-026-01684-8&partnerID=40&md5=71ba7e7e128e4e4360a72402a6bce6ad","Reclamation induces habitat fragmentation and hydrological disconnection, impairing nitrogen (N) and phosphorus (P) adsorption in wetland soils. Concurrently, accelerated decomposition and reduced plant photosynthesis suppress carbon accumulation. These processes weaken the synergistic coupling between carbon storage (CS) and water purification (WP) function. Despite established evidence of reclamation impacts, critical knowledge gaps persist in diagnosing threshold-dependent functional relationship shifts. Focusing on the coastal wetlands of the Liaohe River Delta (LRD)—a globally significant estuarine system in China. This study integrates multi-source remote sensing and field data, coupling the InVEST model, local hotspot analysis, and segmented quantile regression to dissect nonlinear response of multi-dimensional reclamation on the CS–WP functional synergies. Results quantified a stark functional contrast: Croplands maintain moderate to high CS but exhibit the weakest WP function, as indicated by the highest N & P export load (e.g., 0.697 kg/ha for dry farmland and 0.750 kg/ha for paddy fields). In contrast, reed wetlands demonstrate a synergistic relationship, sustaining superior CS (20.29 t/ha) concurrently with effective water purification. A set of optimal thresholds were identified to sustain synergy, including population density of less than 129 people/km², NDVI of 0.16–0.26, agricultural intensity of 0.017–0.072, and distance to roads of 1.415–5.337 km. Aquaculture intensity should be kept below 0.16 when purification equipment is used. Applying these results enables a spatially tailored management framework for regulating ecological functional relationships in areas with high population density, agricultural and aquaculture intensity, and impervious surface coverage. © The Author(s), under exclusive licence to Coastal and Estuarine Research Federation 2026.","Carbon storage; Coastal wetlands; Land reclamation; Sustainable wetland management; Threshold effect; Water purification","China; Liaohe Basin; adsorption; carbon storage; coastal wetland; decomposition; equipment; estuarine environment; land reclamation; NDVI; population density; purification; remote sensing; sustainability; threshold; wetland management","Article","Final","","Scopus","2-s2.0-105031962308"
